Date,High,Vol.,Low,Price,Chg. %,Open,Unnamed: 7,Close
17/04/2023,1570.23,160.62M,1558.92,1566.76,-0.10%,1568.38,,1566.76
14/04/2023,1580.81,162.52M,1562.55,1568.38,-0.79%,1580.81,,1568.38
13/04/2023,1582.54,151.47M,1561.60,1580.81,1.23%,1561.6,,1580.81
12/04/2023,1573.04,144.64M,1559.15,1561.6,0.02%,1561.36,,1561.6
11/04/2023,1566.84,131.08M,1556.75,1561.36,0.30%,1556.75,,1561.36
10/04/2023,1557.33,132.25M,1544.98,1556.75,-0.04%,1557.33,,1556.75
06/04/2023,1563.71,162.44M,1552.08,1557.33,0.23%,1553.83,,1557.33
05/04/2023,1556.22,196.84M,1527.40,1553.83,1.73%,1527.4,,1553.83
04/04/2023,1535.98,162.19M,1524.63,1527.4,0.02%,1527.04,,1527.4
03/04/2023,1528.58,177.66M,1507.61,1527.04,1.08%,1510.73,,1527.04
31/03/2023,1511.00,186.01M,1493.96,1510.73,1.12%,1493.96,,1510.73
30/03/2023,1494.57,126.83M,1484.66,1493.96,0.55%,1485.81,,1493.96
29/03/2023,1489.11,142.04M,1479.86,1485.81,0.24%,1482.26,,1485.81
28/03/2023,1494.84,121.92M,1478.51,1482.26,-0.57%,1490.71,,1482.26
27/03/2023,1502.58,140.57M,1484.65,1490.71,0.41%,1484.65,,1490.71
24/03/2023,1486.39,155.27M,1458.32,1484.65,1.31%,1465.45,,1484.65
23/03/2023,1482.48,166.22M,1456.74,1465.45,-0.18%,1468.05,,1465.45
22/03/2023,1496.65,145.47M,1467.64,1468.05,-1.50%,1490.34,,1468.05
21/03/2023,1491.97,166.00M,1478.13,1490.34,0.59%,1481.55,,1490.34
20/03/2023,1483.18,174.02M,1462.81,1481.55,1.28%,1462.81,,1481.55
17/03/2023,1482.41,392.04M,1458.28,1462.81,-1.26%,1481.54,,1462.81
16/03/2023,1482.23,177.89M,1453.47,1481.54,0.96%,1467.49,,1481.54
15/03/2023,1470.01,193.57M,1451.55,1467.49,-0.17%,1470.01,,1467.49
14/03/2023,1473.90,192.68M,1455.06,1470.01,0.88%,1457.14,,1470.01
13/03/2023,1476.32,218.38M,1439.30,1457.14,0.92%,1443.91,,1457.14
10/03/2023,1463.88,193.94M,1438.33,1443.91,-0.74%,1454.63,,1443.91
09/03/2023,1477.16,163.72M,1449.39,1454.63,-1.03%,1469.81,,1454.63
08/03/2023,1479.34,142.98M,1464.36,1469.81,-0.56%,1478.1,,1469.81
07/03/2023,1505.57,176.09M,1475.63,1478.1,-1.62%,1502.39,,1478.1
06/03/2023,1509.23,184.16M,1499.05,1502.39,-0.06%,1503.32,,1502.39
03/03/2023,1503.59,159.66M,1486.04,1503.32,1.16%,1486.04,,1503.32
02/03/2023,1490.62,153.11M,1471.26,1486.04,0.58%,1477.49,,1486.04
01/03/2023,1480.55,162.19M,1471.00,1477.49,-0.18%,1480.18,,1477.49
28/02/2023,1491.02,223.80M,1478.55,1480.18,-0.73%,1491.02,,1480.18
27/02/2023,1507.62,164.17M,1487.73,1491.02,-0.31%,1495.64,,1491.02
24/02/2023,1514.86,160.36M,1491.28,1495.64,-1.27%,1514.86,,1495.64
23/02/2023,1522.61,163.91M,1504.20,1514.86,0.27%,1510.83,,1514.86
22/02/2023,1521.39,166.56M,1508.15,1510.83,-0.33%,1515.77,,1510.83
21/02/2023,1536.74,164.32M,1514.04,1515.77,-1.36%,1536.74,,1515.77
17/02/2023,1538.78,182.68M,1514.75,1536.74,0.89%,1523.11,,1536.74
16/02/2023,1538.53,165.93M,1520.50,1523.11,-1.02%,1538.53,,1523.11
15/02/2023,1546.02,151.51M,1533.62,1538.77,-0.51%,1546.02,,1538.53
14/02/2023,1560.38,148.10M,1539.08,1546.71,-0.60%,1556.1,,1546.02
13/02/2023,1556.26,153.77M,1543.29,1556.1,0.83%,1543.29,,1556.1
10/02/2023,1544.98,170.11M,1528.98,1543.29,0.94%,1528.98,,1543.29
09/02/2023,1551.92,199.77M,1526.72,1528.98,-0.86%,1542.24,,1528.98
08/02/2023,1551.27,166.92M,1540.65,1542.24,-0.31%,1547.0,,1542.24
07/02/2023,1551.44,183.15M,1526.55,1547.0,0.64%,1537.1,,1547.0
06/02/2023,1546.88,174.71M,1535.25,1537.1,-0.60%,1546.32,,1537.1
03/02/2023,1556.71,197.85M,1540.90,1546.32,-0.26%,1550.33,,1546.32
02/02/2023,1560.94,282.84M,1539.46,1550.33,-0.68%,1560.94,,1550.33
01/02/2023,1570.40,214.28M,1542.69,1560.94,0.48%,1553.43,,1560.94
31/01/2023,1553.52,239.32M,1533.57,1553.43,1.30%,1533.57,,1553.43
30/01/2023,1554.41,183.10M,1531.55,1533.57,-0.93%,1547.92,,1533.57
27/01/2023,1558.72,153.51M,1546.12,1547.92,-0.69%,1558.72,,1547.92
26/01/2023,1559.36,164.95M,1546.55,1558.72,0.16%,1556.28,,1558.72
25/01/2023,1556.33,166.51M,1541.26,1556.28,0.01%,1556.12,,1556.28
24/01/2023,1567.48,163.25M,1546.05,1556.12,-0.65%,1566.24,,1556.12
23/01/2023,1574.66,180.12M,1558.63,1566.24,0.28%,1561.79,,1566.24
20/01/2023,1561.82,204.62M,1544.77,1561.79,0.57%,1552.99,,1561.79
19/01/2023,1559.00,190.09M,1546.33,1552.99,0.23%,1549.37,,1552.99
18/01/2023,1575.25,194.11M,1548.17,1549.37,-1.42%,1571.65,,1549.37
17/01/2023,1580.95,196.04M,1569.59,1571.65,-0.50%,1579.53,,1571.65
13/01/2023,1583.70,168.42M,1564.80,1579.53,0.47%,1572.1,,1579.53
12/01/2023,1578.52,188.97M,1556.71,1572.1,-0.39%,1578.26,,1572.1
11/01/2023,1578.50,208.45M,1563.01,1578.26,0.57%,1569.24,,1578.26
10/01/2023,1571.43,185.38M,1553.85,1569.24,0.83%,1556.25,,1569.24
09/01/2023,1584.44,227.28M,1554.34,1556.25,-1.66%,1582.51,,1556.25
06/01/2023,1585.66,203.11M,1558.81,1582.51,0.89%,1568.57,,1582.51
05/01/2023,1584.91,184.74M,1562.17,1568.57,-1.03%,1584.91,,1568.57
04/01/2023,1593.22,176.20M,1574.85,1584.91,0.25%,1580.97,,1584.91
03/01/2023,1590.40,156.56M,1568.73,1580.97,-0.29%,1585.54,,1580.97
30/12/2022,1590.70,105.31M,1569.49,1585.54,-0.32%,1590.7,,1585.54
29/12/2022,1598.88,95.45M,1574.23,1590.7,1.05%,1574.23,,1590.7
28/12/2022,1596.70,96.76M,1573.58,1574.23,-0.64%,1584.31,,1574.23
27/12/2022,1592.45,98.58M,1578.50,1584.31,-0.27%,1588.53,,1584.31
23/12/2022,1589.43,99.04M,1576.76,1588.53,0.08%,1587.22,,1588.53
22/12/2022,1589.51,129.34M,1567.07,1587.22,-0.16%,1589.51,,1587.22
21/12/2022,1594.24,157.61M,1569.24,1589.73,1.31%,1569.24,,1589.51
20/12/2022,1574.79,159.38M,1560.72,1569.24,-0.06%,1570.16,,1569.24
19/12/2022,1577.64,158.57M,1562.60,1570.16,-0.36%,1575.84,,1570.16
16/12/2022,1598.35,445.93M,1566.81,1575.84,-1.41%,1598.35,,1575.84
15/12/2022,1628.65,197.38M,1593.21,1598.35,-1.86%,1628.65,,1598.35
14/12/2022,1642.21,222.65M,1615.70,1628.65,0.14%,1626.3,,1628.65
13/12/2022,1646.35,247.34M,1621.85,1626.3,0.27%,1621.85,,1626.3
12/12/2022,1621.98,159.32M,1605.20,1621.85,1.04%,1605.2,,1621.85
09/12/2022,1628.17,161.16M,1604.67,1605.2,-1.28%,1626.07,,1605.2
08/12/2022,1627.44,160.45M,1610.92,1626.07,0.89%,1611.67,,1626.07
07/12/2022,1615.40,151.50M,1598.13,1611.67,0.85%,1598.13,,1611.67
06/12/2022,1611.94,157.42M,1590.27,1598.13,-0.74%,1610.11,,1598.13
05/12/2022,1626.18,153.32M,1605.45,1610.11,-0.99%,1626.18,,1610.11
02/12/2022,1627.96,146.65M,1607.83,1626.18,0.22%,1622.56,,1626.18
01/12/2022,1630.55,188.24M,1613.83,1622.56,0.24%,1618.68,,1622.56
30/11/2022,1618.69,330.11M,1574.14,1618.68,2.45%,1579.99,,1618.68
29/11/2022,1583.67,153.61M,1571.69,1579.99,-0.23%,1583.67,,1579.99
28/11/2022,1600.03,179.41M,1580.85,1583.67,-0.75%,1595.63,,1583.67
25/11/2022,1597.22,69.49M,1585.76,1595.63,0.62%,1585.76,,1595.63
23/11/2022,1588.49,120.95M,1576.73,1585.76,0.34%,1580.32,,1585.76
22/11/2022,1581.14,159.31M,1566.48,1580.32,0.88%,1566.48,,1580.32
21/11/2022,1573.10,151.05M,1560.78,1566.48,0.05%,1565.77,,1566.48
18/11/2022,1569.20,169.26M,1547.21,1565.77,1.20%,1547.21,,1565.77
17/11/2022,1553.92,155.28M,1535.14,1547.21,-0.04%,1547.86,,1547.21
16/11/2022,1563.06,180.15M,1546.04,1547.86,-0.13%,1549.85,,1547.86
15/11/2022,1567.36,194.37M,1537.13,1549.85,-0.07%,1550.93,,1549.85
14/11/2022,1570.07,204.28M,1550.40,1550.93,0.03%,1550.4,,1550.93
11/11/2022,1570.50,252.72M,1530.42,1550.4,-1.28%,1570.5,,1550.4
10/11/2022,1572.81,212.94M,1530.84,1570.5,2.59%,1530.84,,1570.5
09/11/2022,1555.25,173.52M,1529.28,1530.84,-1.05%,1547.15,,1530.84
08/11/2022,1559.54,202.73M,1529.79,1547.15,0.50%,1539.41,,1547.15
07/11/2022,1543.78,195.88M,1520.57,1539.41,1.06%,1523.29,,1539.41
04/11/2022,1528.84,206.06M,1502.29,1523.29,0.57%,1514.72,,1523.29
03/11/2022,1522.53,199.27M,1498.98,1514.72,-0.44%,1521.37,,1514.72
02/11/2022,1561.33,225.97M,1520.80,1521.37,-1.69%,1547.57,,1521.37
01/11/2022,1555.58,229.29M,1531.26,1547.57,0.06%,1546.64,,1547.57
31/10/2022,1552.65,227.55M,1537.17,1546.64,-0.08%,1547.85,,1546.64
28/10/2022,1549.23,241.97M,1520.64,1547.85,1.69%,1522.18,,1547.85
27/10/2022,1533.93,190.72M,1520.82,1522.18,-0.58%,1530.99,,1522.18
26/10/2022,1545.06,200.23M,1514.03,1530.99,1.12%,1514.03,,1530.99
25/10/2022,1515.83,204.29M,1497.81,1514.03,0.78%,1502.28,,1514.03
24/10/2022,1507.14,179.26M,1474.11,1502.28,1.91%,1474.11,,1502.28
21/10/2022,1478.02,221.05M,1433.62,1474.11,2.21%,1442.25,,1474.11
20/10/2022,1462.05,162.72M,1439.97,1442.25,-0.81%,1454.08,,1442.25
19/10/2022,1474.48,176.60M,1441.92,1454.08,-1.38%,1474.48,,1454.08
18/10/2022,1487.44,166.01M,1466.18,1474.48,0.57%,1466.18,,1474.48
17/10/2022,1469.73,159.59M,1441.15,1466.18,1.74%,1441.15,,1466.18
14/10/2022,1472.36,162.16M,1439.41,1441.15,-0.83%,1453.26,,1441.15
13/10/2022,1460.23,183.12M,1398.81,1453.26,2.26%,1421.19,,1453.26
12/10/2022,1441.01,159.27M,1421.10,1421.19,-0.53%,1428.76,,1421.19
11/10/2022,1443.29,186.65M,1414.77,1428.76,0.58%,1420.46,,1428.76
10/10/2022,1434.45,147.82M,1415.47,1420.46,-0.65%,1429.72,,1420.46
07/10/2022,1460.69,182.55M,1421.74,1429.72,-2.12%,1460.69,,1429.72
06/10/2022,1479.94,147.37M,1456.98,1460.69,-1.30%,1479.94,,1460.69
05/10/2022,1487.28,128.16M,1460.39,1479.94,0.33%,1475.06,,1479.94
04/10/2022,1475.45,181.59M,1441.49,1475.06,2.33%,1441.49,,1475.06
03/10/2022,1447.01,177.92M,1411.36,1441.49,2.13%,1411.36,,1441.49
30/09/2022,1441.98,201.05M,1410.82,1411.36,-1.40%,1431.45,,1411.36
29/09/2022,1444.73,160.39M,1422.77,1431.45,-0.92%,1444.73,,1431.45
28/09/2022,1451.53,194.88M,1413.68,1444.73,2.20%,1413.68,,1444.73
27/09/2022,1436.85,171.28M,1408.17,1413.68,-0.21%,1416.72,,1413.68
26/09/2022,1431.15,169.15M,1411.79,1416.72,-1.01%,1431.15,,1416.72
23/09/2022,1438.87,173.42M,1413.73,1431.15,-0.54%,1438.87,,1431.15
22/09/2022,1448.51,165.68M,1423.01,1438.87,0.51%,1431.5,,1438.87
21/09/2022,1470.94,158.91M,1431.32,1431.5,-1.69%,1456.05,,1431.5
20/09/2022,1472.85,148.36M,1447.02,1456.05,-1.16%,1472.85,,1456.05
19/09/2022,1481.14,156.85M,1452.33,1473.11,-0.54%,1481.14,,1472.85
16/09/2022,1485.16,302.72M,1469.81,1481.14,-0.27%,1485.16,,1481.14
15/09/2022,1499.27,162.02M,1477.10,1485.16,0.55%,1477.1,,1485.16
14/09/2022,1489.59,176.84M,1467.44,1477.1,0.01%,1477.0,,1477.1
13/09/2022,1526.98,163.63M,1473.39,1477.0,-3.27%,1526.98,,1477.0
Open:1526.98,Highest:1646.35,Lowest:1398.81,Chg. %:1.07%,,,,,1526.98
